date,ticker,shares,price
2026-04-13,XLK,640010000,
2026-04-14,XLK,638810000,
2026-04-15,XLK,638910000,
2026-04-16,XLK,638910000,
2026-03-28,XLP,190520000,
2026-03-30,XLP,189470000,81.87999725341797
2026-03-31,XLP,188920000,81.47509765625
2026-04-01,XLP,188870000,
2026-04-02,XLP,188720000,
2026-04-03,XLP,188720000,
2026-04-06,XLP,186420000,
2026-04-07,XLP,176870000,
2026-04-08,XLP,176820000,
2026-04-09,XLP,174870000,
2026-04-10,XLP,174970000,
2026-04-13,XLP,174320000,
2026-04-14,XLP,173870000,
2026-04-15,XLP,174720000,
2026-04-16,XLP,174720000,
